ID no.	Business Name	Street address	City	State	Zip Code	Phone	Rating	Gender majority	 Median Salary 	Latte Price
141	 Bean Barista	9402 Springview Parkway	Orange	California	92862	714-906-6065	1.58	Male	 $79,526 	$4.75
142	 Caffeine Carousel	38 Roxbury Plaza	Torrance	California	90510	818-577-1717	4.25	Female	 $88,343 	$5.39
143	 Mugful Moments	6176 Debra Park	Garden Grove	California	92844	714-461-1301	4.75	Male	 $80,480 	$4.68
144	 The Roastery	8 Ludington Court	Sacramento	California	95828	916-334-0283	4.00	Male	 $83,453 	$4.97
145	 Sip & Story	13414 Barby Pass	Inglewood	California	90310	310-464-8384	4.56	Male	 $87,586 	$5.05
146	 Perkopolis	282 East Crossing	Torrance	California	90505	310-841-8333	3.05	Male	 $76,315 	$5.04
147	 Brewed Balance	467 Tennyson Center	San Bernardino	California	92424	909-483-8454	4.13	Female	 $82,834 	$5.08
148	 Urban Aromas	48598 Daystar Avenue	Alhambra	California	91841	626-785-5518	3.49	Female	 $81,704 	$4.88
149	 Frothy Frolic	5 Lunder Hill	San Diego	California	92105	858-803-6617	4.35	Male	 $89,316 	$5.13
150	 Latte Love	559 Morning Street	Pasadena	California	91199	626-714-2898	4.32	Male	 $80,131 	$5.28
151	 Java Jive	728 Hoepker Drive	Van Nuys	California	91411	626-620-8137	4.53	Male	 $76,034 	$4.68
152	 Coffee Comforts	1433 Hansons Alley	Santa Ana	California	92725	714-128-6779	4.76	Female	 $87,893 	$5.10
153	 Bean Beacon	483 Mayer Place	Irvine	California	92619	949-373-9079	4.96	Male	 $73,110 	$4.46
154	 Sip & Serendipity	36 Summer Ridge Junction	Fresno	California	93709	559-368-3647	4.28	Male	 $76,033 	$4.83
155	 Roast & Romance	2685 Amoth Trail	Corona	California	92878	951-593-1638	5.00	Female	 $80,359 	$5.08
156	 Espresso Elegance	1 Cherokee Center	Santa Rosa	California	95405	707-605-5098	4.58	Female	 $87,334 	$5.33
157	 Steamy Escapes	14 Morningstar Lane	Los Angeles	California	90076	323-595-0796	4.40	Male	 $76,801 	$4.95
158	 Caffeine Cove	9 Independence Drive	Stockton	California	95205	209-435-6200	4.24	Female	 $83,215 	$5.12
159	 Mug Melodies	714 Sunfield Point	Fresno	California	93750	559-292-8089	1.53	Female	 $77,343 	$5.04
160	 Brew Haven	7 Vidon Hill	Sacramento	California	95833	916-955-7062	1.83	Male	 $81,317 	$5.29
161	 Cup of Calm	300 Grover Plaza	Los Angeles	California	90087	213-368-8727	2.94	Female	 $85,415 	$5.51
162	 Latte Luxe	9 Superior Point	San Jose	California	95133	408-457-8894	4.30	Female	 $78,176 	$5.18
163	 Java Jubilee	5 Sunbrook Parkway	San Diego	California	92137	619-994-1564	4.59	Male	 $82,349 	$5.05
164	 Bean Boutique	7206 3rd Hill	Whittier	California	90605	562-123-5493	4.95	Female	 $76,893 	$4.54
165	 Perk Up Paradise	89 Claremont Way	Irvine	California	92612	949-828-4212	4.36	Female	 $73,569 	$4.88
166	 Aroma Alcove	39202 3rd Center	Oceanside	California	92056	760-738-2243	4.66	Female	 $77,003 	$5.11
167	 Brewed Bliss	72 Dakota Court	Corona	California	92878	951-991-2691	4.53	Male	 $80,359 	$4.93
168	 Urban Sips	86 Scott Crossing	Modesto	California	95354	559-298-4839	4.08	Female	 $77,031 	$4.80
169	 Frothy Fables	1102 Monica Trail	San Jose	California	95123	408-767-7925	4.25	Male	 $80,356 	$5.13
170	 Mug Motif	52948 Clove Court	Brea	California	92822	818-901-4947	4.40	Male	 $84,267 	$5.36
171	 Coffee Dreamscape	40765 Marcy Center	Los Angeles	California	90081	213-179-2556	3.87	Male	 $74,286 	$5.02
172	 The Roast Retreat	23 5th Road	Los Angeles	California	90020	310-513-9919	4.75	Female	 $82,047 	$5.02
173	 Espresso Ecstasy	4482 Walton Junction	Pomona	California	91797	909-997-1018	4.15	Female	 $83,646 	$4.80
174	 Steam & Storytelling	550 Pond Drive	San Jose	California	95173	408-627-7137	4.20	Female	 $79,007 	$5.12
175	 Sip & Solitude	482 Sherman Park	Orange	California	92867	949-901-3404	4.12	Male	 $74,340 	$4.85
176	 Roast Reverie	1 Towne Court	Modesto	California	95397	209-800-3424	5.00	Female	 $76,537 	$4.75
177	 Caffeine Concoctions	74 Veith Place	Moreno Valley	California	92555	951-533-5126	1.73	Male	 $87,654 	$5.18
178	 Bean Brilliance	614 Talmadge Crossing	Los Angeles	California	90005	323-232-7738	5.00	Male	 $81,489 	$5.17
179	 Perk Plaza	11 Moulton Junction	Fresno	California	93750	559-297-9844	5.00	Male	 $77,343 	$4.72
180	 Brewed Bounty	1 Truax Center	Fresno	California	93778	559-815-9218	4.64	Male	 $84,885 	$5.05
181	 Latte Land	9 Ludington Trail	Glendale	California	91205	323-170-6562	4.91	Female	 $81,057 	$5.25
182	 Java Gems	7306 Valley Edge Avenue	Irvine	California	92717	714-210-9646	3.76	Female	 $73,919 	$4.33
183	 Frothy Fantasy	3102 Manley Pass	San Diego	California	92170	619-916-1654	5.00	Female	 $79,060 	$4.82
184	 Sip & Synergy	73235 Westend Parkway	Los Angeles	California	90045	213-794-5255	1.94	Female	 $77,451 	$4.56
185	 Urban Java Jolt	9953 Garrison Pass	San Diego	California	92153	619-570-0387	4.20	Male	 $85,066 	$5.19
186	 Espresso Edifice	3196 Farmco Drive	Pasadena	California	91199	626-380-5316	4.72	Male	 $80,131 	$4.97
187	 Steamy Serenades	4480 Talisman Lane	Los Angeles	California	90094	323-519-3381	5.00	Female	 $81,405 	$4.70
188	 Caffeine Castle	6 Mesta Hill	San Jose	California	95160	408-343-1507	4.92	Male	 $76,465 	$4.92
189	 Mug Magic	61265 Acker Junction	Santa Cruz	California	95064	831-970-2210	4.56	Female	 $88,439 	$5.78
190	 Bean Boulevard	442 Thackeray Alley	San Jose	California	95123	408-715-2575	4.80	Female	 $80,356 	$4.95
191	 The Roastmaster	419 Utah Trail	Berkeley	California	94712	510-371-4254	4.58	Female	 $89,361 	$5.31
192	 Brewed Whimsy	6 Bunker Hill Junction	Carlsbad	California	92013	760-437-4222	4.45	Male	 $88,951 	$5.76
193	 Cup of Coziness	422 Brown Lane	San Francisco	California	94132	415-776-3038	4.54	Female	 $72,457 	$4.64
194	 Latte Lane	9514 Ilene Junction	Sacramento	California	94245	916-662-0919	4.30	Female	 $78,988 	$5.25
195	 Java Joie de Vivre	13 Meadow Valley Terrace	Stockton	California	95298	209-798-5522	4.10	Female	 $83,024 	$4.95
196	 Frothy Fusion	209 Weeping Birch Street	San Francisco	California	94147	415-747-1896	4.47	Female	 $79,326 	$5.10
197	 Sip & Splendor	8912 Northwestern Park	Sacramento	California	95823	510-392-1185	4.30	Female	 $73,165 	$4.97
198	 Perkful Paradise	166 Mallory Trail	Chula Vista	California	91913	619-710-4068	4.47	Male	 $74,094 	$4.48
199	 Coffee Courtyard	44609 Brown Point	San Francisco	California	94132	415-363-1016	4.51	Male	 $72,457 	$4.85
200	 Espresso Enclave	1 Sutteridge Trail	Anaheim	California	92805	562-343-3662	4.80	Male	 $81,169 	$5.14
201	 Steamy Rhapsodies	292 Swallow Center	San Francisco	California	94126	415-839-5959	4.99	Male	 $73,870 	$4.93
202	 Caffeine Carnival	356 Anniversary Trail	Irvine	California	92710	714-993-0648	1.67	Male	 $79,706 	$4.62
203	 Mug Muse	5 Arrowood Pass	Huntington Beach	California	92648	949-449-9143	1.58	Male	 $72,745 	$4.92
204	 Bean Blissful	658 Westend Crossing	Santa Barbara	California	93150	805-854-4863	4.10	Female	 $72,001 	$4.92
205	 The Roast Ritual	152 Prairieview Street	Berkeley	California	94712	510-155-3197	4.64	Female	 $89,361 	$5.76
206	 Brewed Blissfulness	67079 Judy Point	San Mateo	California	94405	805-530-7251	4.40	Male	 $83,324 	$5.30
207	 Latte Luxuries	563 Badeau Lane	San Diego	California	92121	619-483-6733	4.91	Male	 $83,358 	$5.13
208	 Java Journey	210 Nancy Lane	Berkeley	California	94712	510-456-7222	3.05	Female	 $89,361 	$5.67
209	 Frothy Fields	240 Eastlawn Crossing	Torrance	California	90505	310-624-8751	2.75	Male	 $76,315 	$5.05
210	 Sip & Sensations	84 Northland Alley	Los Angeles	California	90076	323-632-5750	2.10	Male	 $76,801 	$5.06
211	 Perk Nook	133 Cherokee Crossing	San Francisco	California	94132	415-584-0268	4.67	Male	 $72,457 	$4.74
212	 Urban Brewscape	96 Cambridge Lane	San Jose	California	95138	408-640-4031	1.76	Female	 $80,066 	$5.00
213	 Steamy Hideaway	94860 Dawn Park	Sacramento	California	94250	916-536-0267	4.53	Male	 $74,226 	$4.97
214	 Caffeine Cabin	851 Delaware Drive	Los Angeles	California	90050	213-375-6637	4.39	Male	 $85,140 	$5.04
215	 Mug Manor	96557 Forster Point	Los Angeles	California	90010	213-606-1916	1.94	Male	 $80,745 	$5.23
216	 Bean Euphoria	45170 Kenwood Trail	Pasadena	California	91131	626-550-0919	4.11	Female	 $81,178 	$5.41
217	 Coffee Chronicles	5430 Lakewood Gardens Center	Fresno	California	93726	559-127-5399	1.25	Female	 $80,973 	$4.89
218	 Espresso Essence	27 Forest Dale Street	Los Angeles	California	90087	213-352-2121	4.50	Male	 $85,415 	$4.89
219	 The Roast Revere	27 Anderson Crossing	Whittier	California	90610	562-397-6363	4.86	Male	 $85,758 	$5.43
220	 Brewed Abundance	90037 Red Cloud Crossing	Oakland	California	94616	415-549-6122	4.32	Female	 $72,463 	$4.79
221	 Cup of Comforts	57151 David Lane	Irvine	California	92612	714-542-6833	4.79	Female	 $73,569 	$5.02
222	 Latte Loveliness	854 Barby Alley	Fresno	California	93794	559-954-9200	4.34	Female	 $80,782 	$4.91
223	 Java Jaunt	187 Pond Point	San Diego	California	92127	760-324-2365	4.42	Female	 $84,283 	$5.46
224	 Frothy Froth	73098 Garrison Avenue	Los Angeles	California	90087	213-579-0354	4.10	Male	 $85,415 	$4.91
225	 Sip & Sanctuary	9283 Anthes Terrace	San Jose	California	95133	408-398-9873	4.59	Male	 $78,176 	$5.05
226	 Perktopia	760 Doe Crossing Drive	San Diego	California	92170	619-921-8898	4.08	Male	 $79,060 	$4.92
227	 Urban Brews & Views	1158 Vidon Place	San Jose	California	95128	714-620-7155	1.65	Female	 $84,929 	$5.20
228	 Steamy Journeys	878 Springs Court	Long Beach	California	90831	562-924-8215	1.59	Female	 $76,580 	$4.79
229	 Caffeine Caravan	78 Hazelcrest Court	Los Angeles	California	90015	323-692-1903	2.99	Male	 $77,593 	$5.09
230	 Mug Montage	859 Basil Crossing	San Diego	California	92132	619-806-3357	4.68	Female	 $82,904 	$5.37
231	 Bean Bliss	52448 Miller Alley	Los Angeles	California	90010	323-645-1785	1.89	Male	 $80,745 	$4.73
232	 The Roast Reverie	1122 Milwaukee Street	Oakland	California	94627	510-929-0927	4.49	Male	 $79,779 	$5.08
233	 Brewed Beauty	5003 Buell Alley	Torrance	California	90510	818-758-8972	2.14	Female	 $88,343 	$5.70
234	 Cup of Charm	63 Iowa Drive	Long Beach	California	90840	562-514-5918	4.70	Male	 $78,081 	$4.53
235	 Latte Lighthouse	210 7th Pass	Huntington Beach	California	92648	949-967-4380	4.79	Female	 $72,745 	$4.99
236	 Java Jollies	6134 Manitowish Parkway	Sacramento	California	94291	916-354-4133	3.09	Male	 $85,267 	$5.47
